title="Potential"
variables = "x","y","U(V)"
zone i=81,j=81
0.57 0.06 2.72678
0.58 0.06 2.58429
0.59 0.06 2.44494
0.6 0.06 2.3086
0.61 0.06 2.17514
0.62 0.06 2.04443
0.63 0.06 1.91634
0.64 0.06 1.79072
0.65 0.06 1.66743
0.66 0.06 1.54634
0.67 0.06 1.4273
0.68 0.06 1.31017
0.69 0.06 1.1948
0.7 0.06 1.08104
0.71 0.06 0.968749
0.72 0.06 0.857781
0.73 0.06 0.747988
0.74 0.06 0.639223
0.75 0.06 0.53134
0.76 0.06 0.424191
0.77 0.06 0.317629
0.78 0.06 0.211508
0.79 0.06 0.105681
0.8 0.06 0
0 0.07 14.2353
0.01 0.07 14.2286
0.02 0.07 14.2086
0.03 0.07 14.1752
0.04 0.07 14.1287
0.05 0.07 14.0689
0.06 0.07 13.9961
0.07 0.07 13.9103
0.08 0.07 13.8118
0.09 0.07 13.7007
0.1 0.07 13.5773
0.11 0.07 13.4418
0.12 0.07 13.2945
0.13 0.07 13.1359
0.14 0.07 12.9662
0.15 0.07 12.786
0.16 0.07 12.5956
0.17 0.07 12.3957
0.18 0.07 12.1868
0.19 0.07 11.9695
0.2 0.07 11.7445
0.21 0.07 11.5123
0.22 0.07 11.2737
0.23 0.07 11.0294
0.24 0.07 10.7801
0.25 0.07 10.5266
0.26 0.07 10.2694
0.27 0.07 10.0095
0.28 0.07 9.74737
0.29 0.07 9.4838
0.3 0.07 9.21943
0.31 0.07 8.95488
0.32 0.07 8.69074
0.33 0.07 8.42757
0.34 0.07 8.16589
0.35 0.07 7.90618
0.36 0.07 7.64888
0.37 0.07 7.39437
0.38 0.07 7.14301
0.39 0.07 6.89511
0.4 0.07 6.65095
0.41 0.07 6.41074
0.42 0.07 6.17469
0.43 0.07 5.94296
0.44 0.07 5.71566
0.45 0.07 5.49289
0.46 0.07 5.27471
0.47 0.07 5.06116
0.48 0.07 4.85226
0.49 0.07 4.64798
0.5 0.07 4.44829
0.51 0.07 4.25315
0.52 0.07 4.06249
0.53 0.07 3.87623
0.54 0.07 3.69427
0.55 0.07 3.51649
0.56 0.07 3.34279
0.57 0.07 3.17304
0.58 0.07 3.00711
0.59 0.07 2.84484
0.6 0.07 2.6861
0.61 0.07 2.53073
0.62 0.07 2.37857
0.63 0.07 2.22948
0.64 0.07 2.08327
0.65 0.07 1.9398
0.66 0.07 1.79889
0.67 0.07 1.66038
0.68 0.07 1.52409
0.69 0.07 1.38985
0.7 0.07 1.2575
0.71 0.07 1.12687
0.72 0.07 0.997775
0.73 0.07 0.870054
0.74 0.07 0.743533
0.75 0.07 0.618041
0.76 0.07 0.493405
0.77 0.07 0.369454
0.78 0.07 0.246017
0.79 0.07 0.122923
0.8 0.07 0
0 0.08 16.3068
0.01 0.08 16.2992
0.02 0.08 16.2762
0.03 0.08 16.2379
0.04 0.08 16.1845
0.05 0.08 16.1159
0.06 0.08 16.0322
0.07 0.08 15.9338
0.08 0.08 15.8206
0.09 0.08 15.6929
0.1 0.08 15.5511
0.11 0.08 15.3953
0.12 0.08 15.226
0.13 0.08 15.0436
0.14 0.08 14.8484
0.15 0.08 14.6411
0.16 0.08 14.4221
0.17 0.08 14.192
0.18 0.08 13.9516
0.19 0.08 13.7015
0.2 0.08 13.4424
0.21 0.08 13.1751
0.22 0.08 12.9005
0.23 0.08 12.6193
0.24 0.08 12.3324
0.25 0.08 12.0406
0.26 0.08 11.7447
0.27 0.08 11.4456
0.28 0.08 11.1442
0.29 0.08 10.8411
0.3 0.08 10.5372
0.31 0.08 10.2332
0.32 0.08 9.92976
0.33 0.08 9.62753
0.34 0.08 9.32712
0.35 0.08 9.02906
0.36 0.08 8.73387
0.37 0.08 8.442
0.38 0.08 8.15384
0.39 0.08 7.86975
0.4 0.08 7.59003
0.41 0.08 7.31495
0.42 0.08 7.04472
0.43 0.08 6.77951
0.44 0.08 6.51946
0.45 0.08 6.26467
0.46 0.08 6.0152
0.47 0.08 5.7711
0.48 0.08 5.53237
0.49 0.08 5.29898
0.5 0.08 5.0709
0.51 0.08 4.84807
0.52 0.08 4.63039
0.53 0.08 4.41778
0.54 0.08 4.21012
0.55 0.08 4.00728
0.56 0.08 3.80912
0.57 0.08 3.6155
0.58 0.08 3.42625
0.59 0.08 3.24122
0.6 0.08 3.06022
0.61 0.08 2.8831
0.62 0.08 2.70966
0.63 0.08 2.53972
0.64 0.08 2.3731
0.65 0.08 2.20961
0.66 0.08 2.04904
0.67 0.08 1.89122
0.68 0.08 1.73594
0.69 0.08 1.58302
0.7 0.08 1.43225
0.71 0.08 1.28344
0.72 0.08 1.1364
0.73 0.08 0.990921
0.74 0.08 0.846815
0.75 0.08 0.703884
0.76 0.08 0.561933
0.77 0.08 0.420765
0.78 0.08 0.280184
0.79 0.08 0.139994
0.8 0.08 0
0 0.09 18.3938
0.01 0.09 18.3851
0.02 0.09 18.3591
0.03 0.09 18.3159
0.04 0.09 18.2554
0.05 0.09 18.1778
0.06 0.09 18.0833
0.07 0.09 17.9719
0.08 0.09 17.8438
0.09 0.09 17.6994
0.1 0.09 17.5388
0.11 0.09 17.3624
0.12 0.09 17.1707
0.13 0.09 16.964
0.14 0.09 16.7428
0.15 0.09 16.5078
0.16 0.09 16.2595
0.17 0.09 15.9987
0.18 0.09 15.726
0.19 0.09 15.4424
0.2 0.09 15.1485
0.21 0.09 14.8453
0.22 0.09 14.5338
0.23 0.09 14.2149
0.24 0.09 13.8895
0.25 0.09 13.5586
0.26 0.09 13.2232
0.27 0.09 12.8842
0.28 0.09 12.5426
0.29 0.09 12.1993
0.3 0.09 11.8551
0.31 0.09 11.511
0.32 0.09 11.1676
0.33 0.09 10.8257
0.34 0.09 10.486
0.35 0.09 10.1491
0.36 0.09 9.81556
0.37 0.09 9.48591
0.38 0.09 9.1606
0.39 0.09 8.84001
0.4 0.09 8.52449
0.41 0.09 8.21431
0.42 0.09 7.90971
0.43 0.09 7.61089
0.44 0.09 7.31799
0.45 0.09 7.03112
0.46 0.09 6.75033
0.47 0.09 6.47567
0.48 0.09 6.20713
0.49 0.09 5.94468
0.5 0.09 5.68827
0.51 0.09 5.43782
0.52 0.09 5.19323
0.53 0.09 4.95439
0.54 0.09 4.72115
0.55 0.09 4.49338
0.56 0.09 4.27091
0.57 0.09 4.05357
0.58 0.09 3.84118
0.59 0.09 3.63355
0.6 0.09 3.43048
0.61 0.09 3.23179
0.62 0.09 3.03725
0.63 0.09 2.84666
0.64 0.09 2.65981
0.65 0.09 2.47648
0.66 0.09 2.29645
0.67 0.09 2.11952
0.68 0.09 1.94545
0.69 0.09 1.77403
0.7 0.09 1.60504
0.71 0.09 1.43825
0.72 0.09 1.27345
0.73 0.09 1.11042
0.74 0.09 0.948921
0.75 0.09 0.788749
0.76 0.09 0.629678
0.77 0.09 0.471488
0.78 0.09 0.313959
0.79 0.09 0.156869
0.8 0.09 0
0 0.1 20.498
0.01 0.1 20.4883
0.02 0.1 20.4593
0.03 0.1 20.411
0.04 0.1 20.3435
0.05 0.1 20.2568
0.06 0.1 20.1511
0.07 0.1 20.0266
0.08 0.1 19.8835
0.09 0.1 19.7219
0.1 0.1 19.5423
0.11 0.1 19.3449
0.12 0.1 19.1303
0.13 0.1 18.8988
0.14 0.1 18.6511
0.15 0.1 18.3878
0.16 0.1 18.1096
0.17 0.1 17.8172
0.18 0.1 17.5115
0.19 0.1 17.1934
0.2 0.1 16.8639
0.21 0.1 16.5239
0.22 0.1 16.1746
0.23 0.1 15.8169
0.24 0.1 15.4521
0.25 0.1 15.0812
0.26 0.1 14.7052
0.27 0.1 14.3254
0.28 0.1 13.9428
0.29 0.1 13.5583
0.3 0.1 13.1731
0.31 0.1 12.788
0.32 0.1 12.4039
0.33 0.1 12.0216
0.34 0.1 11.642
0.35 0.1 11.2657
0.36 0.1 10.8934
0.37 0.1 10.5255
0.38 0.1 10.1626
0.39 0.1 9.80521
0.4 0.1 9.45359
0.41 0.1 9.10808
0.42 0.1 8.76894
0.43 0.1 8.43636
0.44 0.1 8.11051
0.45 0.1 7.79148
0.46 0.1 7.47934
0.47 0.1 7.17412
0.48 0.1 6.8758
0.49 0.1 6.58434
0.5 0.1 6.29968
0.51 0.1 6.02171
0.52 0.1 5.75033
0.53 0.1 5.48538
0.54 0.1 5.22673
0.55 0.1 4.97418
0.56 0.1 4.72757
0.57 0.1 4.48669
0.58 0.1 4.25135
0.59 0.1 4.02132
0.6 0.1 3.79638
0.61 0.1 3.57631
0.62 0.1 3.36088
0.63 0.1 3.14985
0.64 0.1 2.94299
0.65 0.1 2.74004
0.66 0.1 2.54078
0.67 0.1 2.34495
0.68 0.1 2.15231
0.69 0.1 1.96262
0.7 0.1 1.77562
0.71 0.1 1.59108
0.72 0.1 1.40874
0.73 0.1 1.22837
0.74 0.1 1.04971
0.75 0.1 0.872512
0.76 0.1 0.696543
0.77 0.1 0.521551
0.78 0.1 0.347293
